"","n","beta","rho","lm_r2_m","pw_r2_m","lm_r2_std","pw_r2_std","lm_beta_m","pw_beta_m","lm_beta_std","lm_beta_std.1","lm_mse_m","pw_mse_m","lm_mse_std","pw_mse_std"
"1",50,0.1,"c(0.3, 0.3, 0.3)",0.266632032651352,0.11007656381842,0.265313667893751,0.265313667893751,0.0980454871185426,0.0926240588303196,0.261667897976797,0.0381065352373598,2.72236563566766,1.03618320058909,1.28856645304366,0.198073215320239
"2",100,0.1,"c(0.3, 0.3, 0.3)",0.240076433230589,0.130036939740843,0.218126007102418,0.218126007102418,0.123464429238253,0.107935540196638,0.0779812279264326,0.0414016828742987,2.00423240164457,0.969428304790738,0.796867995163354,0.137267657469775
"3",300,0.1,"c(0.3, 0.3, 0.3)",0.21673551857814,0.105697637814501,0.204991084363985,0.204991084363985,0.126561031866448,0.103354040384183,0.0924647482698348,0.0212054307838637,3.01449668144135,1.01844226353759,1.09912512013378,0.0700403478229502
"4",600,0.1,"c(0.3, 0.3, 0.3)",0.0917093792886772,0.101994108058066,0.0714249522004264,0.0714249522004264,0.0793002553016552,0.100648227823589,0.0522640197597431,0.0171814777290386,3.02998998181162,0.973755548871226,0.659254057401753,0.0659462860593105
"5",1000,0.1,"c(0.3, 0.3, 0.3)",0.0649080697777947,0.101396231874276,0.046797412013257,0.046797412013257,0.0694001656433711,0.101070108274055,0.0331600135634982,0.0143589489813078,2.75329935735701,0.998268538864018,0.327037979792227,0.036489053338102
"6",50,0.5,"c(0.3, 0.3, 0.3)",0.70437053198667,0.741244621646494,0.293732278060387,0.293732278060387,0.426317806213068,0.494342524732911,0.182824929927584,0.0548506494332796,1.73934242434768,1.04720689379184,0.983915960599011,0.366826564383905
"7",100,0.5,"c(0.3, 0.3, 0.3)",0.765965197630324,0.735639064368256,0.115605404240588,0.115605404240588,0.512967381362363,0.495229605544557,0.128773207823682,0.027344119655076,2.52142197089692,0.986066415250369,1.17781417196529,0.111480820275522
"8",300,0.5,"c(0.3, 0.3, 0.3)",0.694385956433624,0.726462026960921,0.130723510690117,0.130723510690117,0.474047101281136,0.495722521954942,0.114375109506897,0.0116245650723712,2.90588298959727,1.00042662382399,0.683783051983253,0.0839273458742491
"9",600,0.5,"c(0.3, 0.3, 0.3)",0.752566608323661,0.737773267647689,0.0659881544513782,0.0659881544513782,0.504861164037805,0.509132228163631,0.0664813548957496,0.0127353111613741,2.77945594521233,1.01323127744674,0.714732196680224,0.0652489764508783
"10",1000,0.5,"c(0.3, 0.3, 0.3)",0.734665765540138,0.731460042314376,0.0677302607037578,0.0677302607037578,0.500360552431455,0.496555465109071,0.0531605860465699,0.0121019419475036,2.92847156999916,0.969370393662236,0.573026161850697,0.0518014487658772
"11",50,1,"c(0.3, 0.3, 0.3)",0.929877961376518,0.917546488282858,0.0227836448325733,0.0227836448325733,0.943861939501794,0.969449458692918,0.154046722128355,0.044017896416751,2.18763508436415,1.07348927013456,0.59592936301277,0.271649895515847
"12",100,1,"c(0.3, 0.3, 0.3)",0.92839603002527,0.919173154181692,0.0306318636181033,0.0306318636181033,1.02257010959586,0.991295862333436,0.150729677663711,0.028069185235848,2.58143069514294,0.997974593546519,0.847302234433448,0.072086495029368
"13",300,1,"c(0.3, 0.3, 0.3)",0.92510224376892,0.918839120704824,0.0239782528031569,0.0239782528031569,0.996373446729902,1.00966364802052,0.098824006117068,0.0126984603030225,2.58375184408589,0.981240143149138,0.58840475081453,0.0920667706271021
"14",600,1,"c(0.3, 0.3, 0.3)",0.920669910161131,0.917063300414959,0.014205557255078,0.014205557255078,0.986630847302276,1.00639994017379,0.0543881288014489,0.012411405576257,2.75824649993765,0.987233190880195,0.518606327178671,0.0750712073198777
