"","n","beta","beta0","std","rho","lm_r2_m","pw_r2_m","lm_r2_std","pw_r2_std","lm_beta1_m","pw_beta1_m","lm_beta1_std","pw_beta1_std","lm_beta0_m","pw_beta0_m","lm_beta0_std","pw_beta0_std","lm_mse_m","pw_mse_m","lm_mse_std","pw_mse_std"
"1",50,0.1,0,1,"c(0.7, 0.2)",0.0498,0.1328,0.058,0.058,0.0993,0.0991,0.086,0.0432,-0.0195,-0.0311,1.2568,1.2267,2.9413,0.9652,1.6039,0.2098
"2",100,0.1,0,1,"c(0.7, 0.2)",0.0338,0.1266,0.0312,0.0312,0.0965,0.0991,0.0659,0.0295,-0.0096,-0.0293,0.9746,0.927,3.4412,0.996,1.4734,0.141
"3",200,0.1,0,1,"c(0.7, 0.2)",0.0295,0.1235,0.0238,0.0238,0.1044,0.0989,0.0491,0.0203,-0.0217,-0.0014,0.7855,0.7411,3.853,1.018,1.2928,0.1079
"4",600,0.1,0,1,"c(0.7, 0.2)",0.0215,0.1254,0.0123,0.0123,0.0999,0.1004,0.0307,0.0115,0.0384,0.0366,0.4378,0.4081,4.2487,1.0326,0.807,0.0633
"5",1000,0.1,0,1,"c(0.7, 0.2)",0.0205,0.1253,0.0096,0.0096,0.1003,0.1004,0.0237,0.009,-0.005,-0.006,0.3443,0.3279,4.3292,1.0382,0.6827,0.0507
"6",50,0.5,0,1,"c(0.7, 0.2)",0.4453,0.7705,0.1457,0.1457,0.4946,0.4985,0.0852,0.0428,0.1794,0.1675,1.3246,1.2524,2.8454,0.9413,1.5919,0.2086
"7",100,0.5,0,1,"c(0.7, 0.2)",0.3925,0.7773,0.1041,0.1041,0.4991,0.5002,0.0633,0.0286,-0.0807,-0.0813,1.0224,1.014,3.4957,0.9913,1.4614,0.1429
"8",200,0.5,0,1,"c(0.7, 0.2)",0.3535,0.7735,0.0802,0.0802,0.4976,0.4996,0.0471,0.0197,0.0253,0.005,0.6923,0.6643,3.9652,1.0281,1.2931,0.1114
"9",600,0.5,0,1,"c(0.7, 0.2)",0.3304,0.7782,0.0483,0.0483,0.4998,0.4999,0.0303,0.0115,-0.0145,-0.016,0.4211,0.4049,4.3186,1.0398,0.8373,0.0625
"10",1000,0.5,0,1,"c(0.7, 0.2)",0.3242,0.7785,0.0396,0.0396,0.4971,0.4996,0.0234,0.0092,0.0078,-0.0038,0.3313,0.3212,4.35,1.0351,0.6698,0.0494
